quants,means
424,-0.0007241501557815782
425,-0.0006884087383770892
426,-0.0007041863324480263
427,-0.0006729905549599752
428,-0.0006316094482892605
429,-0.0006925820987573896
430,-0.0006619011278311509
431,-0.0007109634534582778
432,-0.0008155559789180487
433,-0.0008023602816647242
434,-0.000770486783954536
435,-0.000765573644291781
436,-0.0007509070475760265
437,-0.0006814158729449533
438,-0.0007348779919366093
439,-0.0007283602843854583
440,-0.0007137143733665995
441,-0.0006603160728205051
442,-0.0006329205655030088
443,-0.0005770012621488595
444,-0.000612333032115223
445,-0.0005766187625897244
446,-0.0005855419700642099
447,-0.0006024414815338933
448,-0.0006167894493246868
449,-0.0006600553669149021
450,-0.0006365644832785741
451,-0.0006698400662517329
452,-0.0006309461167758341
453,-0.0006096553416945013
454,-0.0006895756146849845
455,-0.000631426622644819
456,-0.0006344111208840395
457,-0.0006982255841444484
458,-0.0006534977684675809
459,-0.0006654543602221367
460,-0.0006506789716600796
461,-0.0006520724099429564
462,-0.0006485052869944611
463,-0.000582616990242443
464,-0.000593377092243299
465,-0.0005426708833212318
466,-0.0005744649069911987
467,-0.0005630931718002087
468,-0.0005882472817066959
469,-0.0005919567792329388
470,-0.000639705393501908
471,-0.000610147291840765
472,-0.000527866787955449
473,-0.0005106652439935178
474,-0.00044528081792649524
475,-0.00043253301414991434
476,-0.00043641241043862363
477,-0.00039980219746353044
478,-0.0003951586708085994
479,-0.00039125639838649326
480,-0.0003710462350655593
481,-0.00035018364935666686
482,-0.0003502090560623043
483,-0.00031596351660831987
484,-0.00023827368727278057
485,-0.00021348877437793755
486,-0.000262294931207174
487,-0.0002657267031007696
488,-0.00023656655357794123
489,-0.0002888934799640844
490,-0.00029725120950662516
491,-0.00035339054863185986
492,-0.000405534112833524
493,-0.00038163771611157297
494,-0.000319396607423499
495,-0.0002974768894716817
496,-0.00028436821433422876
497,-0.0002898139252390748
498,-0.00024539258325085813
499,-0.0002524312025643667
500,-0.00023669075811588204
501,-0.0002533617387469863
502,-0.0002367641760839699
503,-0.00022077454715625007
504,-0.0002185887126906531
505,-0.00023616532833872805
506,-0.00023318773858463794
507,-0.0002996185755523763
508,-0.00027659660171484716
509,-0.0002072678584450021
510,-0.00023282455246795
511,-0.00021374765833659382
512,-0.00022198790643583548
513,-0.0002952949703382732
514,-0.0002934718615320995
515,-0.0003312669656981048
516,-0.0002664962526315133
517,-0.00027026376272657485
518,-0.0002599880671288127
519,-0.00022059623846119462
520,-0.00022151073739967305
521,-0.00021443107815357368
522,-0.00017084490454951298
523,-0.00019084109104136837
524,-0.00019424634021128267
525,-0.00020828562624530895
526,-0.00019085243579874703
527,-0.00013972291774572994
528,-0.0001532409111502425
529,-0.000114462039333238
530,-9.822065290061564e-05
531,-0.00011259442358625808
532,-0.0001332327304372803
533,-0.00017661469596634888
534,-0.00014052105007917435
535,-0.00013156676521251695
536,-0.0001673638588476383
537,-0.00011880178539925148
538,-9.179940148805886e-05
539,-0.00013744996276475124
540,-0.0001478692601260815
541,-0.00015536658141615666
542,-0.00010532708326266856
543,-0.00013129096292128478
544,-0.000176794685684808
545,-0.0001758501078001955
546,-0.0001360058472278776
547,-0.00011827877264325113
548,-0.00017449435854807055
549,-0.00017538357589645868
550,-0.00012498690105360827
551,-8.260862006840978e-05
552,-0.0001312921311677477
553,-0.00010563203764973181
554,-0.0001236443036571284
555,-0.00013763020246492064
556,-0.0001342465277164109
557,-0.0001428393752649431
558,-0.0001435798605577242
559,-0.00011187942343196613
560,-0.0001552893122153265
561,-0.00010766206796898874
562,-9.520575795056044e-05
563,-8.618085926350463e-05
564,-7.081243788607267e-05
565,-4.856941191964687e-05
566,-3.6342331595909855e-05
567,-3.296982722099208e-05
568,-5.350960142456814e-05
569,-4.976857055401508e-05
570,-1.8126081008177494e-05
571,-5.726975649821299e-05
572,-9.105727330569945e-05
573,-6.811716928524546e-05
574,-7.176753629644973e-05
575,-4.6907235426848125e-05
576,-1.7453582358545393e-05
577,-0.00010054821165109093
578,-0.0001177643627838553
579,-0.00013214038245474386
580,-0.00015513672825690923
581,-0.000150643988081981
582,-0.000166189318182532
583,-0.0001593131217387739
584,-0.00014850705728792655
585,-7.096333709406892e-05
586,-6.222444655152885e-05
587,-1.1369968598157764e-05
588,2.7988334395111123e-05
589,2.6495031364501595e-05
590,5.42897802758863e-05
591,7.791045346736512e-05
592,0.00011059818640086146
593,0.00010247264482217611
594,9.328171477709704e-05
595,0.00010386290577095233
596,8.261130250589738e-05
597,5.8147462510855363e-05
598,5.846759135244318e-05
599,5.495198391069304e-05
600,7.027380965255195e-05
601,4.611605404262261e-05
602,-4.313569451057189e-06
603,6.303331595771074e-06
604,-2.518705860209533e-05
605,-3.6322896614677336e-05
606,-1.661534161539868e-05
607,1.1309269929053076e-05
608,-1.0454608873738336e-05
609,3.4538289471173974e-06
610,-1.2443398538526156e-05
611,2.485265419972421e-05
612,4.626957703000697e-05
613,4.094402301536545e-05
614,6.154000321783507e-05
615,2.0218508596271576e-05
616,4.153329068781521e-05
617,7.396691878445549e-05
618,4.0298480233601406e-05
619,4.873564363489066e-05
620,5.036348901726803e-05
621,5.1996700702270615e-05
622,1.4223705585555233e-05
623,7.756281569780955e-05
624,9.897977122964222e-05
625,0.00012347245443399847
626,0.00014389542637296585
627,0.00013247167457573097
628,0.00019160378733518328
629,0.00016743202392486666
630,0.00015193678849273676
631,0.00013892053741715877
632,0.00014420857921091426
633,0.00012939386093573552
634,0.00015198026726860072
635,0.00012426664139315703
636,0.0001429106267651764
637,0.00017153568571978163
638,0.00019947647203362166
639,0.00021126420042421045
640,0.00019290063149833577
641,0.00018902392733286783
642,0.0002066815326462668
643,0.00017907676622793848
644,0.0002150777894310649
645,0.00017872627115530433
646,0.00016569514685762658
647,0.00016679202990010225
648,0.00017022760019844531
649,0.00019734046574110554
650,0.00018929319533760033
651,0.00017226370920263122
652,0.0001329077133341399
653,0.00011294336915758344
654,0.00011322722172131651
655,0.00013930158363550395
656,0.00015278210234546448
657,0.00016205957615615245
658,0.00016152617536618988
659,0.00017541255561520137
660,0.00016547854377769327
661,0.00021700449526544446
662,0.00020488591549542537
663,0.00023162745104326563
664,0.00019372815125697022
665,0.00024367881527185463
666,0.00023167810585219485
667,0.0002115498807141651
668,0.0001787705642019279
669,0.0001983973458915097
670,0.00025016871070884404
671,0.00022973415518920536
672,0.00022682447593441445
673,0.0002454497709748558
674,0.00024644888771406303
675,0.00027493390876897185
676,0.0002666100749539433
677,0.00020449721861057424
678,0.0001870338474412504
679,0.00015832411700036092
680,0.00018154533494661403
681,0.00019063380767597677
682,0.00023331033040878036
683,0.00023773305494750386
684,0.00022614932333029034
685,0.0001989663823569996
686,0.00020659640519030684
687,0.00020005245872576504
688,0.0001532489215535931
689,0.00019423162327942577
690,0.00019549281297468135
691,0.00020858275658513833
692,0.0002183192502591489
693,0.00025058765240972664
694,0.0002971681054941328
695,0.0002964328556613091
696,0.0002934989161604846
697,0.0002867356055090427
698,0.00029817653425723593
699,0.00028663291651940067
700,0.000313609412576874
701,0.0003128371519974371
702,0.0003552905147533375
703,0.0003482023247539959
704,0.0003338025857858079
705,0.00034230643905626266
706,0.00033805887011830463
707,0.0003262794312301291
708,0.0003277302385465303
709,0.00032219848229443144
710,0.0003427016522731254
711,0.00035128130832426293
712,0.00031606518373343545
713,0.00034421500020596115
714,0.00031941875673268685
715,0.00031329767712033786
716,0.00032764237266112695
717,0.0003357286194148548
718,0.0003354293232211789
719,0.00031499671712317145
720,0.00037048729137935924
721,0.0003802928846680944
722,0.0004104973730426993
723,0.00041751642108216875
724,0.0004626707870262055
725,0.0004774247171855637
726,0.0005083556092405064
727,0.0005506498500029931
728,0.0005238759768455419
729,0.0005428193426786032
730,0.0005163903931790899
731,0.0005596571946853146
732,0.0005372811097525289
733,0.0005038880678508497
734,0.0004602940698749167
735,0.00044217743778040625
736,0.00043283221546966063
737,0.00044183202334017037
738,0.0004915796287227362
739,0.000543371965190508
740,0.0005440286125468053
741,0.0005289199430503649
742,0.000537342355038135
743,0.0005458345292304427
744,0.0005154887177868293
745,0.0005242251080526379
746,0.0005597359660228048
747,0.0005540367002781336
748,0.0005746735571808382
749,0.0005779938590221718
750,0.0005751398491360034
751,0.000540880970248736
752,0.0005226671187507021
753,0.0005058853374552639
754,0.0004984223156901598
755,0.0004856009297595823
756,0.0004719977775321036
757,0.0004336279119176309
758,0.0004276770699715873
759,0.0004114588388173807
760,0.00036552697311255757
761,0.00034810092724337735
762,0.000343922464260562
763,0.00032308232857222713
764,0.00029634450910533713
765,0.00027650477592073354
766,0.0002792072415143616
767,0.00026871834350513285
768,0.0002463734078484424
769,0.00023035549481344834
770,0.00021257677959905054
771,0.0002217573171168426
772,0.00020913935152031771
773,0.00020476817136602646
774,0.0002165372104419446
775,0.00022479806381053217
776,0.00023011210581948084
777,0.00022680883813023254
778,0.00022235478147851096
779,0.00023369085343417212
780,0.00024329235136953643
781,0.0002725450753280169
782,0.00028741670890240144
783,0.0002684169320741835
784,0.0002644877779498616
785,0.00023253885704517963
786,0.0002256225027253409
787,0.0002453103070129007
788,0.00025279510759238503
789,0.00019486984645977195
790,0.00018736005988020203
791,0.00017556162179509943
792,0.00016379805951235868
793,0.00016109695212419291
794,0.0001489676417518726
795,0.00015672181269683872
796,0.00019883556658433545
797,0.00018581258067750235
798,0.0001878529615840692
799,0.00019458465419063486
800,0.00014660715006958001
801,0.00015183437600588926
802,0.00016429860013847847
803,0.00013635762057907612
804,0.00010936399251968734
805,8.547542671084766e-05
806,0.00010950892410134804
807,0.00011861958798063636
808,7.904571078180008e-05
809,8.255626260136153e-05
810,0.00010745103624913379
811,7.180314766881861e-05
812,5.860132822843562e-05
813,5.76396647208597e-05
814,6.98722266437237e-05
815,5.432386276324638e-05
816,4.1706725380427e-05
817,3.9528420506884574e-05
818,2.80237821463523e-05
819,3.640165870276577e-05
820,1.2728820544645103e-05
821,-4.777316133256917e-06
822,-1.640368393545477e-05
823,-2.4987939177861742e-05
824,-9.247482954158454e-06
825,-6.459227021446553e-05
826,-4.9279396398615484e-05
827,-1.781569875035622e-05
828,-2.162677833795932e-05
829,5.781508205648398e-06
830,-1.9109653082658055e-05
831,6.991245080839165e-06
832,5.3436502237330434e-05
833,7.536435936185571e-05
834,9.810126955185869e-05
835,9.571184890236592e-05
836,9.77302674156813e-05
837,0.00011266569074944491
838,5.801107556052881e-05
839,7.026658445879331e-05
840,3.6558753467473036e-05
841,3.0151898821100454e-05
842,6.493991978067602e-05
843,3.336324613928594e-05
844,2.3389783762780275e-05
845,2.613248268629935e-05
846,6.524559471381186e-05
847,6.793904667692657e-05
848,5.639065662886998e-05
849,8.374896176920789e-05
850,8.992263644853725e-05
851,9.67058744707285e-05
852,0.0001036480723411286
853,9.071870504456336e-05
854,0.00011029995010931461
855,0.0001079654396123736
856,0.00012421154796141425
857,0.00012209037462968973
858,8.321063700142829e-05
859,6.002773449339191e-05
860,7.722217824118523e-05
861,0.00011777132279352954
862,0.0001228314983557582
863,7.447941488304945e-05
864,4.522931869486209e-05
865,5.5456117457950266e-05
866,4.1114606418632066e-05
867,2.187415318824224e-05
868,3.094851752894153e-05
869,1.1097657440179067e-06
870,-1.4469996642217397e-05
871,-8.263125208286344e-06
872,-4.297381150888369e-05
873,-1.9376950278864125e-05
874,-3.8879075063180476e-05
875,-9.629361264702211e-05
876,-0.00010742082275634028
877,-0.00013103609748936823
